pair_label;spearman_r;p_value;display_value;note;accent_group;sort_order
BTC vs Equity;0,3807;0,0001;r = 0.38;modest but higher;equity;1
BTC vs Gold;0,0929;0,3529;r = 0.09;near zero;gold;2
