date,BTC_vol_30d,ETH_vol_30d,GOLD_vol_30d,ETF_vol_30d,EM_vol_30d,BOND_vol_30d
2018-04-24,79.85,105.37,11.3,17.17,21.38,9.0
2018-04-25,84.08,112.21,11.45,17.09,21.34,9.06
2018-04-26,79.59,109.47,11.49,17.29,21.86,8.92
2018-04-27,80.3,109.75,11.41,17.3,21.96,9.23
2018-04-30,80.61,109.94,11.59,17.37,22.03,9.2
2018-05-01,80.24,107.26,11.75,17.12,21.88,9.21
2018-05-02,79.8,107.28,11.68,17.14,21.64,9.14
2018-05-03,81.24,113.25,10.56,17.14,21.51,9.23
2018-05-04,80.9,112.16,10.53,15.86,19.45,8.76
2018-05-07,81.56,113.25,9.75,14.96,18.63,8.77
2018-05-08,78.31,108.85,9.59,13.38,15.95,8.71
2018-05-09,76.81,104.98,9.47,12.71,15.15,8.23
2018-05-10,77.51,105.79,8.88,12.99,16.32,8.57
2018-05-11,74.2,98.69,8.89,12.47,15.09,8.46
2018-05-14,74.37,99.73,8.21,10.76,14.16,8.54
2018-05-15,73.68,99.44,9.15,10.82,15.06,8.85
2018-05-16,69.37,94.43,9.13,10.72,15.75,8.89
2018-05-17,70.26,96.58,9.06,10.57,16.29,8.76
2018-05-18,69.66,95.23,8.91,9.31,15.49,8.51
2018-05-21,69.66,93.96,8.83,9.36,15.61,8.49
2018-05-22,71.33,97.64,8.77,8.31,14.47,8.48
2018-05-23,73.76,102.96,8.37,8.21,14.47,8.72
2018-05-24,62.92,95.2,8.29,8.17,14.52,8.87
2018-05-25,63.04,95.66,8.01,8.19,14.35,9.04
2018-05-29,62.71,96.05,7.98,9.23,15.74,11.1
2018-05-30,62.53,95.95,7.99,9.78,15.95,11.26
2018-05-31,61.81,95.62,7.98,9.85,15.67,11.01
2018-06-01,61.62,92.78,8.05,10.26,16.26,10.85
2018-06-04,58.05,89.72,7.83,10.12,16.2,10.85
2018-06-05,58.22,89.16,7.68,10.12,16.18,10.87
2018-06-06,51.61,83.71,7.51,9.98,16.72,11.06
2018-06-07,45.67,74.53,7.32,10.11,17.17,11.16
2018-06-08,42.76,70.93,7.29,9.89,16.63,11.07
2018-06-11,49.33,77.64,7.18,9.91,16.52,10.88
2018-06-12,49.31,78.73,6.95,9.73,16.41,10.87
2018-06-13,49.82,79.09,6.73,9.75,16.46,10.81
2018-06-14,52.62,83.71,6.75,9.64,16.42,11.04
2018-06-15,49.2,73.06,8.09,9.74,16.55,10.98
2018-06-18,51.79,75.67,8.05,9.6,16.8,10.99
2018-06-19,51.57,76.5,8.05,9.82,16.99,11.08
2018-06-20,51.65,76.49,8.11,9.84,16.95,11.41
2018-06-21,51.33,76.46,8.1,9.95,17.31,11.32
2018-06-22,56.8,82.21,7.82,9.61,16.34,11.11
2018-06-25,55.53,80.71,7.85,10.38,16.65,11.11
2018-06-26,54.23,77.53,7.9,10.37,16.61,10.97
2018-06-27,54.46,78.2,6.69,10.45,16.49,10.62
2018-06-28,55.17,78.61,6.72,10.48,15.97,10.51
2018-06-29,57.8,79.18,6.84,10.61,16.36,10.43
2018-07-02,60.96,83.71,7.3,10.6,16.42,10.24
2018-07-03,60.44,83.6,8.02,10.38,16.26,10.3
2018-07-05,59.79,82.08,8.12,10.65,16.17,10.27
2018-07-06,57.57,77.53,8.1,10.88,16.84,10.14
2018-07-09,57.67,76.82,7.65,11.21,17.77,10.21
2018-07-10,60.0,80.28,7.63,11.18,17.69,10.09
2018-07-11,60.15,80.52,8.12,10.81,17.32,7.94
2018-07-12,60.46,80.99,8.25,10.48,17.66,7.66
2018-07-13,60.28,80.28,8.29,10.34,17.67,7.66
2018-07-16,65.2,86.97,8.23,9.92,17.12,7.59
2018-07-17,70.1,87.7,8.67,9.83,16.97,7.26
2018-07-18,69.97,87.8,8.53,9.83,16.88,7.38
2018-07-19,70.07,87.92,8.53,9.5,16.38,7.08
2018-07-20,70.2,88.43,8.86,9.48,16.62,7.6
2018-07-23,71.58,88.47,8.86,9.46,16.69,8.39
2018-07-24,70.37,85.0,8.82,9.53,17.34,8.43
2018-07-25,69.33,82.76,9.07,9.95,18.06,8.45
2018-07-26,68.97,82.13,9.12,10.01,18.23,8.47
2018-07-27,68.01,77.88,9.09,10.05,18.18,8.12
2018-07-30,66.96,76.62,7.99,10.03,18.05,8.17
2018-07-31,68.16,75.87,8.1,9.96,17.75,8.33
2018-08-01,68.56,75.17,8.27,9.76,17.64,8.46
2018-08-02,68.65,75.24,8.31,9.75,18.04,8.1
2018-08-03,68.87,75.43,8.44,9.49,17.68,8.09
2018-08-06,65.45,68.21,8.42,9.4,17.59,8.09
2018-08-07,65.82,70.47,8.47,8.35,17.35,8.18
2018-08-08,68.4,70.63,8.48,8.35,17.31,8.18
2018-08-09,69.33,70.73,8.38,7.78,16.27,8.08
2018-08-10,70.45,73.65,8.36,8.59,17.4,8.38
2018-08-13,68.97,82.52,9.18,8.73,17.5,8.35
2018-08-14,66.52,76.6,8.85,8.74,17.38,8.37
2018-08-15,66.65,77.02,9.25,9.47,19.26,8.39
2018-08-16,66.47,76.94,9.11,9.49,19.37,8.34
2018-08-17,67.44,83.39,9.71,9.35,19.18,8.29
2018-08-20,68.43,90.02,9.83,8.98,18.41,8.33
2018-08-21,66.54,88.24,9.93,9.06,18.86,8.39
2018-08-22,66.71,87.66,9.6,8.31,18.15,8.39
2018-08-23,66.56,88.01,9.74,8.02,18.28,8.4
2018-08-24,66.98,88.34,11.17,8.3,19.13,8.39
2018-08-27,63.21,81.03,11.25,8.71,19.52,8.47
2018-08-28,58.66,80.78,11.06,8.66,19.43,8.63
2018-08-29,58.65,80.48,11.17,8.79,19.51,8.56
2018-08-30,58.56,80.45,11.19,9.07,20.66,8.38
2018-08-31,58.48,80.16,10.98,9.1,20.26,7.59
2018-09-04,58.3,80.35,10.99,9.26,20.93,6.85
2018-09-05,55.36,91.44,11.06,9.29,20.74,6.84
2018-09-06,55.79,91.49,10.93,8.85,20.04,6.9
2018-09-07,55.43,92.03,10.75,8.85,19.89,7.33
2018-09-10,54.68,93.53,10.74,8.84,19.93,7.39
2018-09-11,54.64,94.05,10.75,8.85,19.97,7.66
2018-09-12,53.35,93.94,11.02,8.83,19.96,7.53
2018-09-13,53.98,107.34,10.87,9.04,20.4,7.13
2018-09-14,53.98,107.53,10.92,9.04,20.11,7.27
2018-09-17,54.61,107.85,10.99,9.03,20.03,7.12
2018-09-18,51.82,110.5,10.9,9.26,20.23,7.72
2018-09-19,51.25,109.77,10.94,9.2,20.43,7.77
2018-09-20,47.69,111.72,10.96,9.59,20.74,7.9
2018-09-21,47.12,115.78,11.12,9.54,20.79,7.44
2018-09-24,44.15,115.08,11.12,8.94,20.12,7.07
2018-09-25,44.47,108.58,10.21,8.72,19.56,7.06
2018-09-26,44.22,108.43,10.33,8.67,19.49,7.42
2018-09-27,44.64,109.94,9.45,7.79,17.46,7.17
2018-09-28,44.68,109.86,9.61,7.63,17.56,7.19
2018-10-01,43.37,106.38,9.26,7.57,17.32,7.39
2018-10-02,41.57,99.84,9.74,7.62,17.69,7.34
2018-10-03,40.86,99.61,9.78,7.53,17.43,8.69
2018-10-04,40.63,99.24,9.76,8.18,18.59,8.66
2018-10-05,40.06,99.31,9.36,8.24,18.09,8.79
2018-10-08,39.22,99.08,8.48,7.93,17.11,8.7
2018-10-09,38.53,98.99,8.39,7.35,16.41,9.38
2018-10-10,37.39,98.12,8.13,11.01,18.21,9.31
2018-10-11,39.86,107.68,11.01,11.61,18.08,10.13
2018-10-12,39.86,108.62,11.0,12.19,19.28,10.08
2018-10-15,42.78,110.82,11.14,12.23,19.31,10.09
2018-10-16,40.32,110.74,11.02,13.73,20.22,10.08
2018-10-17,33.74,96.92,11.0,13.68,20.11,10.15
2018-10-18,31.93,97.01,10.99,14.35,21.38,10.04
2018-10-19,31.81,95.64,10.95,14.36,21.61,9.83
2018-10-22,31.16,91.55,10.98,14.34,21.74,9.71
2018-10-23,31.16,89.54,11.08,14.4,21.92,9.64
2018-10-24,31.15,89.47,10.86,16.22,23.6,9.92
2018-10-25,30.24,77.74,10.82,16.72,23.99,9.93
2018-10-26,30.23,77.75,10.62,17.0,24.14,10.09
2018-10-29,29.08,75.81,10.64,17.04,24.45,10.09
