date,BTC_sharpe_12m,ETH_sharpe_12m,GOLD_sharpe_12m,ETF_sharpe_12m,EM_sharpe_12m,BOND_sharpe_12m
2024-05-01,1.8655,1.4358,1.1305,1.3284,0.6504,-0.5268
2024-06-01,1.3848,1.1505,1.3367,1.1238,0.5486,-0.4404
2024-07-01,1.6086,1.1458,1.5149,0.9921,0.2286,-0.1202
2024-08-01,1.6841,0.9083,1.8319,1.4541,0.8942,0.1488
2024-09-01,1.7484,0.9362,3.1447,2.2365,1.6392,0.7488
2024-10-01,1.5509,0.7395,3.1475,2.3161,1.6713,0.7494
2024-11-01,1.8138,1.0344,2.1837,2.3389,0.8776,0.3411
2024-12-01,1.5219,0.7656,1.8522,1.4431,0.3952,-0.7801
2025-01-01,1.669,0.7623,2.4988,1.726,1.1772,-0.5734
2025-02-01,0.7815,-0.3003,2.6572,1.2843,0.9116,0.0379
2025-03-01,0.4677,-0.6493,2.6264,0.5017,0.7478,-0.1028
2025-04-01,1.042,-0.4621,2.7667,0.9991,0.7934,0.2941
2025-05-01,1.0266,-0.2043,2.5667,1.0597,0.9753,-0.1949
2025-06-01,1.3654,-0.0952,2.6356,1.2573,1.2209,-0.1261
2025-07-01,1.3834,0.4992,2.1331,1.2112,1.2029,-0.523
2025-08-01,1.4476,0.9747,2.3177,1.2256,1.3508,-0.7113
2025-09-01,1.4079,0.8758,2.343,1.3309,1.3921,-0.5563
2025-10-01,1.0844,0.8269,2.301,1.8606,2.1656,-0.0045
2025-11-01,-0.0947,0.1141,3.1408,1.4902,2.3466,-0.161
2025-12-01,-0.0841,0.1764,3.6621,2.069,3.0085,0.2164
2026-01-01,-0.4798,0.0804,3.5155,2.0454,3.1301,0.158
2026-02-01,-0.5611,0.1258,3.931,2.2948,3.5229,0.0437
2026-03-01,-0.401,0.4775,1.8544,1.6436,1.6652,-0.2813
2026-04-01,-0.4755,0.5898,1.5023,2.0177,2.0956,-0.2278
